Hero,Picked,Presence,Winrate,Wins
Countess,3,14.29,100.0,3
Riktor,5,23.81,80.0,4
Fey,3,14.29,100.0,3
Yurei,6,28.57,66.67,4
Gideon,3,14.29,66.67,2
Grux,4,19.05,100.0,4
FengMao,2,9.52,100.0,2
Grim,4,19.05,75.0,3
Steel,4,19.05,75.0,3
Zarus,4,19.05,50.0,2
Wukong,3,14.29,100.0,3
Howitzer,1,4.76,100.0,1
Revenant,1,4.76,100.0,1
Gadget,2,9.52,50.0,1
Wraith,1,4.76,100.0,1
Dekker,3,14.29,100.0,3
Phase,4,19.05,75.0,3
Kira,3,14.29,33.33,1
Muriel,1,4.76,0.0,0
Crunch,1,4.76,0.0,0
Belica,1,4.76,100.0,1
Terra,1,4.76,0.0,0
Skylar,1,4.76,100.0,1
Mourn,1,4.76,100.0,1
Narbash,1,4.76,100.0,1
